; Retrieved from https://groups.nscl.msu.edu/jina/nucdatalib/
; 
; C scanf string: "%3d %3d %15s %12f %9f"
; Fortran format: 1x,i3,1x,i3,1x,a15,1x,f12.5,1x,f9.5
; Regular expression: / +([^ ]+)/
; 
; Column descriptions:
;  - Error (keV): Mass excess error
; 
; All data lines start with a space ( ) character. All non-data lines start with a semicolon (;).
; Empty entries are marked with a hash (#) character.
;
;----------------------------------------------
;  Z   A      Evaluation  Mass excess     Error
;----------------------------------------------
   3   3     ame03extrap        28667      2000
   4   5     ame03extrap        37996      3996
   5   6     ame03extrap        43603       699
   1   7     ame03extrap        49135      1005
   3  12     ame03extrap        50096       997
   9  14     ame03extrap        32658       401
   4  15     ame03extrap        49798       503
   4  16     ame03extrap        57678       503
   5  18     ame03extrap        52322       801
   5  19     ame03extrap        59364       401
   6  21     ame03extrap        45960       503
  13  21     ame03extrap        26119       298
   6  22     ame03extrap        53281       904
  13  22     ame03extrap        18183        93
  14  22     ame03extrap        32164       200
   7  23     ame03extrap        38396       298
  14  23     ame03extrap        23772       196
   7  24     ame03extrap        47543       401
  15  24     ame03extrap        31997       503
   7  25     ame03extrap        56504       503
   8  25     ame03extrap        27442       257
  15  25     ame03extrap        18872       196
   8  26     ame03extrap        35713       257
  15  26     ame03extrap        10973       196
  16  26     ame03extrap        25970       298
   8  27     ame03extrap        44954       503
  16  27     ame03extrap        17543       202
   8  28     ame03extrap        53850       596
   9  28     ame03extrap        33226       512
  17  28     ame03extrap        26557       503
   9  29     ame03extrap        40296       578
  17  29     ame03extrap        13143       196
   9  30     ame03extrap        48903       596
  17  30     ame03extrap         4443       196
  18  30     ame03extrap        20083       298
   9  31     ame03extrap        56289       597
  10  31     ame03extrap        30842       904
  18  31     ame03extrap        11293       206
  10  32     ame03extrap        37278       801
  19  32     ame03extrap        20418       503
  10  33     ame03extrap        45997       801
  19  33     ame03extrap         6763       196
  10  34     ame03extrap        53121       807
  11  34     ame03extrap        32761       898
  19  34     ame03extrap        -1481       298
  20  34     ame03extrap        13153       298
  11  35     ame03extrap        39582       946
  12  35     ame03extrap        16152       401
  20  35     ame03extrap         4602       196
  11  36     ame03extrap        47953       952
  12  36     ame03extrap        21424       503
  21  36     ame03extrap        13898       503
  11  37     ame03extrap        55275       958
  12  37     ame03extrap        29249       904
  21  37     ame03extrap         2841       298
  12  38     ame03extrap        34996       503
  21  38     ame03extrap        -4937       298
  22  38     ame03extrap         9101       252
  12  39     ame03extrap        43568       513
  22  39     ame03extrap         1500       205
  12  40     ame03extrap        50235       904
  13  40     ame03extrap        29295       699
  23  40     ame03extrap        10330       503
  13  41     ame03extrap        35704       801
  22  41     ame03extrap       -15700       100
  23  41     ame03extrap         -205       205
  13  42     ame03extrap        43678       904
  14  42     ame03extrap        18434       503
  23  42     ame03extrap        -8169       196
  24  42     ame03extrap         5990       298
  14  43     ame03extrap        26697       699
  23  43     ame03extrap       -18024       233
  24  43     ame03extrap        -2133       219
  14  44     ame03extrap        32844       801
  15  44     ame03extrap        12100       699
  24  44     ame03extrap       -13461        50
  25  44     ame03extrap         6399       503
  15  45     ame03extrap        17903       801
  25  45     ame03extrap        -5114       298
  26  45     ame03extrap        13579       222
  15  46     ame03extrap        25504       904
  16  46     ame03extrap          699       699
  25  46     ame03extrap       -12370       112
  26  46     ame03extrap          755       354
  16  47     ame03extrap         8002       801
  17  47     ame03extrap       -10517       596
  25  47     ame03extrap       -22263       158
  26  47     ame03extrap        -6623       261
  27  47     ame03extrap        10703       503
  16  48     ame03extrap        13199       904
  17  48     ame03extrap        -4704       699
  18  48     ame03extrap       -23716       298
  26  48     ame03extrap       -18160        70
  27  48     ame03extrap         1639       401
  28  48     ame03extrap        18397       503
  16  49     ame03extrap        22001       952
  17  49     ame03extrap          298       801
  18  49     ame03extrap       -18146       503
  26  49     ame03extrap       -24582       149
  27  49     ame03extrap        -9576       261
  28  49     ame03extrap         8998       401
  17  50     ame03extrap         7303       904
  18  50     ame03extrap       -14503       699
  27  50     ame03extrap       -17195       168
  28  50     ame03extrap        -3791       261
  17  51     ame03extrap        13497       997
  18  51     ame03extrap        -7797       699
  19  51     ame03extrap       -22002       503
  27  51     ame03extrap       -27274       149
  28  51     ame03extrap       -11439       261
  18  52     ame03extrap        -2999       904
  19  52     ame03extrap       -16199       699
  27  52     ame03extrap       -33916        65
  28  52     ame03extrap       -22654        84
  29  52     ame03extrap        -2627       261
  18  53     ame03extrap         4602       997
  19  53     ame03extrap       -11998       699
  20  53     ame03extrap       -27898       503
  21  53     ame03extrap       -37623       298
  28  53     ame03extrap       -29370       158
  29  53     ame03extrap       -13460       261
  19  54     ame03extrap        -5403       904
  20  54     ame03extrap       -23893       699
  29  54     ame03extrap       -21694       214
  30  54     ame03extrap        -6567       401
  19  55     ame03extrap         -270       997
  20  55     ame03extrap       -18118       699
  29  55     ame03extrap       -31624       298
  30  55     ame03extrap       -14923       252
  20  56     ame03extrap       -13441       904
  21  56     ame03extrap       -25271       699
  29  56     ame03extrap       -38601       140
  30  56     ame03extrap       -25728       261
  31  56     ame03extrap        -4741       261
  20  57     ame03extrap        -7120      1000
  21  57     ame03extrap       -20688       699
  30  57     ame03extrap       -32800       102
  31  57     ame03extrap       -15901       261
  21  58     ame03extrap       -15174       801
  22  58     ame03extrap       -30767       699
  31  58     ame03extrap       -23986       214
  32  58     ame03extrap        -8374       317
  21  59     ame03extrap       -10042       904
  22  59     ame03extrap       -25216       699
  31  59     ame03extrap       -34121       168
  32  59     ame03extrap       -17000       279
  21  60     ame03extrap        -3996       904
  22  60     ame03extrap       -21648       801
  31  60     ame03extrap       -39998       112
  32  60     ame03extrap       -27768       233
  33  60     ame03extrap        -6399       596
  22  61     ame03extrap       -15649       904
  23  61     ame03extrap       -29361       401
  32  61     ame03extrap       -33729       298
  33  61     ame03extrap       -18052       596
