; Retrieved from https://groups.nscl.msu.edu/jina/nucdatalib/
; 
; C scanf string: "%3d %3d %15s %12f %9f"
; Fortran format: 1x,i3,1x,i3,1x,a15,1x,f12.5,1x,f9.5
; Regular expression: / +([^ ]+)/
; 
; Column descriptions:
;  - Error (keV): Mass excess error
; 
; All data lines start with a space ( ) character. All non-data lines start with a semicolon (;).
; Empty entries are marked with a hash (#) character.
;
;----------------------------------------------
;  Z   A      Evaluation  Mass excess     Error
;----------------------------------------------
  12  26           reac1   -16214.582     0.027
  13  26           reac1   -12210.309      0.06
  14  26           reac1    -7144.632         3
  15  26           reac1        10973       196
  16  26           reac1        25970       298
   8  27           reac1        44954       503
   9  27           reac1     24926.86   376.688
  10  27           reac1     7069.949   110.384
  11  27           reac1    -5517.436     3.503
  12  27           reac1   -14586.651     0.049
  13  27           reac1   -17196.658     0.116
  14  27           reac1   -12384.301     0.151
  15  27           reac1      -717.03    26.341
  16  27           reac1        17543       202
   8  28           reac1        53850       596
   9  28           reac1        33226       512
  10  28           reac1    11244.601   146.679
  11  28           reac1     -989.247    13.041
  12  28           reac1   -15018.641     2.004
  13  28           reac1   -16850.441     0.131
  14  28           reac1   -21492.797     0.002
  15  28           reac1    -7158.753      3.32
  16  28           reac1     4073.203       160
  17  28           reac1        26557       503
   9  29           reac1        40296       578
  10  29           reac1    18057.881   268.671
  11  29           reac1     2665.004    13.041
  12  29           reac1   -10619.032    13.972
  13  29           reac1   -18215.322     1.206
  14  29           reac1   -21895.046     0.021
  15  29           reac1   -16952.626       0.6
  16  29           reac1    -3159.582        50
  17  29           reac1        13143       196
   9  30           reac1        48903       596
  10  30           reac1    23102.025   570.734
  11  30           reac1      8361.09     25.15
  12  30           reac1    -8910.672     8.383
  13  30           reac1   -15872.419    14.045
  14  30           reac1   -24432.928      0.03
  15  30           reac1   -20200.575     0.313
  16  30           reac1   -14062.532     3.003
  17  30           reac1         4443       196
  18  30           reac1        20083       298
   9  31           reac1        56289       597
  10  31           reac1        30842       904
  11  31           reac1    12654.768   211.321
  12  31           reac1     -3217.38    12.109
  13  31           reac1   -14953.628    20.343
  14  31           reac1   -22949.006     0.039
  15  31           reac1   -24440.885     0.183
  16  31           reac1   -19044.648     1.506
  17  31           reac1    -7067.165        50
  18  31           reac1        11293       206
  10  32           reac1        37278       801
  11  32           reac1    19064.478   356.178
  12  32           reac1     -954.781    17.698
  13  32           reac1   -11061.966    85.949
  14  32           reac1   -24080.907      0.05
  15  32           reac1   -24305.218     0.187
  16  32           reac1   -26015.697     0.138
  17  32           reac1   -13329.771     6.593
  18  32           reac1    -2200.204      1.78
  19  32           reac1        20418       503
